ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
GOOS,-40,0,1,Canada Goose Holdings Inc.,21.65,0.35,0.01643,302682,1173222853,1244912,21.3
WOLF,-40,0,2,"Wolfspeed, Inc.",88.965,2.505,0.02897,562499,10993857437,1617701,86.46
LTBR,-33.333333333333336,2.9333333333333433,3,Lightbridge Corporation,8.46,-0.57,-0.06312,171802,64537465,319052,9.03
AUY,-32.637499999999996,48.8,4,Yamana Gold Inc.,5.28,-0.02,-0.00377,7233545,5067956340,16939142,5.3
BYSI,-26.66666666666666,0,5,BeyondSpring Inc.,1.7,0.02,0.0119,91606,66481009,392404,1.68
PG,-26.550000000000008,10.000000000000009,6,The Procter & Gamble Company,149.58,4.53,0.03123,3105477,361975794766,7964794,145.05
UPWK,-22.166666666666668,33.33333333333333,7,Upwork Inc.,18.51,0.51,0.02833,261156,2391781219,1462149,18
WES,-19.999999999999996,0,8,"Western Midstream Partners, LP",22.66,-0.52,-0.02243,333621,9144363214,2402425,23.18
RIOT,-16.643773946360152,-20.370370370370374,9,"Riot Blockchain, Inc.",14.57,0.41,0.02895,1977950,1698620138,6032826,14.16
IINN,-11.38,-0.7499999999999951,10,Inspira Technologies Oxy B.H.N. Ltd.,2.13,0,0,51182,14577511,128050,2.13
SLI,-11.250000000000004,6.697278911564619,11,Standard Lithium Ltd.,5.45,-0.02,-0.00366,537433,884451680,1885342,5.47
APDN,-11.249999999999993,21.558779761904766,12,"Applied DNA Sciences, Inc.",2.14,0.09,0.0439,25016,16020297,75802,2.05
BENE,-11.149999999999993,0,13,Benessere Capital Acquisition Corp.,10.225,0.00500011,0.000489248,11117,121554125,106230,10.22
ZNGA,-10.123072562358281,18.84891774891775,14,Zynga Inc.,8.725,-0.135,-0.01524,11388278,9880262740,33487512,8.86
MBRX,-9.999999999999998,0,15,"Moleculin Biotech, Inc.",1.23,0,0,31315,35149818,85639,1.23
POW.TO,-9.999999999999998,0,16,Power Corporation of Canada,38.67,-0.45,-0.0115,427234,24041118930,2172561,39.12
AIHS,-8.000000000000007,-19.999999999999996,17,Senmiao Technology Limited,0.2405,-0.0165,-0.0642,68319,14859002,603669,0.257
