ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
WBEV,-40,0,-4100,1,"Winc, Inc.",2.98,-0.24,-0.07453420000000001,32008,39214327,28808,3.22
EURN,-25,0,-2600,2,Euronav NV,10.79,0.2,0.018885700000000002,1686597,2374066653,1470172,10.59
MRAI,-21.724999999999994,0,-2272.4999999999995,3,"Marpai, Inc.",1.74,0.06000006,0.035714324,52330,35617526,46354,1.68
FCF,-19.999999999999996,0,-2099.9999999999995,4,First Commonwealth Financial Corporation,15.98,0.27,0.0171865,489897,1506899584,386714,15.71
GGB,-19.999999999999996,0,-2099.9999999999995,5,Gerdau S.A.,5.49,0.11999989,0.022346349,9951625,9730695168,13288967,5.37
USIO,39.99999999999999,-2.500000000000002,-1699.9999999999982,6,"Usio, Inc.",3.33,0.09999991,0.030959723,94123,84910835,47998,3.23
AFYA,-15.833333333333332,0,-1683.3333333333333,7,Afya Limited,13.32,0.8800001,0.07073955999999999,188726,1244440960,129153,12.44
FUL,-13.33333333333333,0,-1433.333333333333,8,H.B. Fuller Company,67.39,1.4599991,0.022144685,286231,3573226752,333751,65.93
PACB,23.79,-2.0226190476190453,-1276.1977633902309,9,"Pacific Biosciences of California, Inc.",10.26,1.1000004,0.12008738,5573944,2271543833,5004469,9.16
SPOT,21.347288359788365,-1.9181818181818189,-1212.8918102259333,10,Spotify Technology S.A.,133,-0.58,-0.00434,2297149,24177980000,1496892,123.84
CRM,12.810347985347992,-1.1971111111111044,-1170.1051779110132,11,"salesforce.com, inc.",205.99,0.42,0.00204,6040044,203514300000,5276325,196.14
PPGH,11.323749999999988,-1.18611111111111,-1054.695550351288,12,Poema Global Holdings Corp.,9.91,0.01000023,0.0010101242000000001,41669,342240000,57360,9.9
MGA,-9.000000000000007,0,-1000.0000000000007,13,Magna International Inc.,60.96,2.63,0.0450882,2227432,18083356672,2260806,58.33
PETV,-8.000000000000007,0,-900.0000000000007,14,"PetVivo Holdings, Inc.",1.65,-0.05000007,-0.029411805000000003,17231,16520135,71698,1.7
IMRN,-7.499999999999996,0,-849.9999999999997,15,Immuron Limited,2.9,0.10000014,0.035714335,2876,16401482,4899,2.8
FF,16.999999999999993,-2.4865384615384567,-783.6813611755618,16,FutureFuel Corp.,9.04,0,0,651696,395619717,425916,8.45
WSBC,-5.999999999999995,0,-699.9999999999994,17,"WesBanco, Inc.",35.72,0.40999985,0.011611437,248138,2190021888,199298,35.31
AUY,10.316666666666663,-1.8738095238095331,-650.57179161372,18,Yamana Gold Inc.,5.35,0,0,18689665,5135145156,19525566,5.39
