ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
DADA,27.43333333333333,0.1675000000000093,16278.109452735407,1,Dada Nexus Limited,5.75,0.6,0.1165,1503317,1345109615,3332746,5.15
GOOD,77.60000000000001,0,7660.000000000001,2,Gladstone Commercial Corporation,21.3,0.17,0.00805,37415,805118253,362109,21.13
SLAB,75,0,7400,3,Silicon Laboratories Inc.,137.305,3.505,0.0262,82938,5239521316,586361,133.8
USIO,60.00000000000001,0,5900.000000000001,4,"Usio, Inc.",3.03,0,0,14370,75670538,55304,3.03
AY,48.016666666666666,0,4701.666666666667,5,Atlantica Sustainable Infrastructure plc,34.19,0.07,0.00205,91111,3843057647,561200,34.12
NICE,38.350340136054406,0,3735.0340136054406,6,NICE Ltd.,203.2,0.46,0.00227,139532,12826276811,486306,202.74
ASG,36.66666666666667,0,3566.666666666667,7,"Liberty All-Star Growth Fund, Inc.",6.6,0.11,0.01695,49242,281444480,312745,6.49
GO,36.50833333333334,0,3550.833333333334,8,Grocery Outlet Holding Corp.,28.35,0.27,0.00962,155683,2722605631,740530,28.08
EA,36.39999999999999,0,3539.999999999999,9,Electronic Arts Inc.,119.47,0.34,0.00285,597850,33597624358,1968240,119.13
ACXP,35.00000000000001,0,3400.000000000001,10,"Acurx Pharmaceuticals, Inc.",3.88,0.16,0.04301,2185,39262527,28085,3.72
DIS,7.280030678445315,0.21372549019609277,3306.2528862448266,11,The Walt Disney Company,133.05,4.02,0.03116,2952156,242235274934,9971526,129.03
ACM,33.65476190476191,0,3265.4761904761913,12,AECOM,74.735,-0.395,-0.00526,221042,10563252439,1373185,75.13
SCS,32.14285714285714,0,3114.2857142857138,13,Steelcase Inc.,11.69,0.04,0.00343,119730,1017284035,724821,11.65
PPSI,30.000000000000004,0,2900.0000000000005,14,"Pioneer Power Solutions, Inc.",5.74,0.15,0.02683,89306,50087498,134410,5.59
