ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
CHEK,20.113333333333337,0.017152777777784678,117159.91902829293,1,Check-Cap Ltd.,0.3847,0.01089999,0.029159954,674412,36826691,971096,0.3738
ABMD,82.5,0,8150,2,"Abiomed, Inc.",294.79,5.15,0.01778,433122,13417720598,242007,289.64
GOOD,77.60000000000001,0,7660.000000000001,3,Gladstone Commercial Corporation,21.54,0.05000114,0.0023267170000000003,299823,814945987,349696,21.49
ASG,63.1,0,6210,4,"Liberty All-Star Growth Fund, Inc.",6.96,0.28999996,0.043478255,287088,395391328,192027,6.67
SNAX,12.948333333333316,0.31250000000000444,4043.4666666666026,5,"Stryve Foods, Inc.",2.46,-0.03999996,-0.015999984000000002,185108,21525013,113108,2.5
RETA,37.5,0,3650,6,"Reata Pharmaceuticals, Inc.",34.15,2.2600021,0.07086868,403244,1076146021,556252,31.89
SJR,32.49999999999999,0,3149.999999999999,7,Shaw Communications Inc.,30.44,0.370001,0.0123047,499846,15274488832,392140,30.07
E,28.275000000000006,0,2727.5000000000005,8,Eni S.p.A.,28.15,-0.05000114,-0.0017730902,513981,50532909056,526427,28.2
JP,28.100000000000016,0,2710.0000000000014,9,Jupai Holdings Limited,0.493,0.053,0.120455,66073,16621159,8448,0.44
ST,28.016666666666666,0,2701.6666666666665,10,Sensata Technologies Holding plc,53.24,0,0,1628324,8392577961,1750919,52.24
ACXP,26.107107843137257,0,2510.7107843137255,11,"Acurx Pharmaceuticals, Inc.",3.72,-0.00999999,-0.0026809627,11599,39869680,7540,3.73
NOV,24.899999999999988,0,2389.9999999999986,12,NOV Inc.,18.75,-0.57,-0.0295031,6887001,7362474769,5881926,19.32
APLE,23.797619047619058,0,2279.761904761906,13,"Apple Hospitality REIT, Inc.",18.12,0.21000099,0.011725348,2144164,4189307904,1734130,17.91
BLD,22.500000000000007,0,2150.000000000001,14,TopBuild Corp.,219.72,2.4400024,0.011229761,195108,7234764288,168084,217.28
L,21.66666666666668,0,2066.666666666668,15,Loews Corporation,63.31,0.6400032,0.010212275,1508213,15713669120,922302,62.67
