ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
ES,-50,-8.753333333333336,1,Eversource Energy,84.75,0.39,0.00462,0,29056950386,2720958,84.19
VRPX,-26.66666666666666,0,2,"Virpax Pharmaceuticals, Inc.",2.13,-0.12,-0.05333,0,24953046,157293,2.25
EPRT,-24.16666666666667,0,3,"Essential Properties Realty Trust, Inc.",24.88,0,0,0,3125057351,591956,24.92
ERIC,-22.916666666666675,-0.8333333333333304,4,Telefonaktiebolaget LM Ericsson (publ),8.39,-0.03999996,-0.0047449538,9829187,25762038381,18133621,8.43
BYSI,-20.885258597883592,33.4125,5,BeyondSpring Inc.,1.99,-0.11999989,-0.056871986000000006,259614,78017420,344298,2.11
ACM,-19.999999999999996,0,6,AECOM,74.92,0.90999603,0.012295581,750652,10589417472,1005546,74.01
EVBG,-19.999999999999996,19.999999999999996,7,"Everbridge, Inc.",36.06,-1.1599998,-0.031166034,857824,1421782947,1223363,37.22
AES,-19.704444444444448,0,8,The AES Corporation,22.5,0.15,0.00671,0,14916281424,6540739,21.96
RNG,-16.45833333333333,0,9,"RingCentral, Inc.",112,1.25,0.01129,0,9354713716,966057,116.04
BENE,-16.27916666666667,19.463333333333345,10,Benessere Capital Acquisition Corp.,10.22,0,0,0,121554125,41232,10.22
EMB,-15.416666666666668,0,11,iShares J.P. Morgan USD Emerging Markets Bond ETF,95.75,0.13999939,0.0014642757000000001,7137647,16440275000,10222226,95.61
SLAB,-13.33333333333333,-6.666666666666665,12,Silicon Laboratories Inc.,140.73,-0.29,-0.00206,0,5655551130,580808,141.02
TMO,-12.083333333333336,22.36111111111112,13,Thermo Fisher Scientific Inc.,538.25,-3.4500122,-0.006368861,1407813,210559090688,1480986,541.7
MGTX,-10.387499999999994,0,14,MeiraGTx Holdings plc,14.42,0.0699997,0.0048780274,110743,640949158,125031,14.35
TNP,-10.000000000000009,0,15,Tsakos Energy Navigation Limited,8.51,-0.19,-0.02184,0,158303547,463491,9.2
SLF,-9.999999999999998,0,16,Sun Life Financial Inc.,52.58,0,0,0,30814340534,680037,52.33
STZ,-9.999999999999998,19.999999999999996,17,"Constellation Brands, Inc.",213.64,-1.0800018,-0.005029815,1002142,40118035535,812182,214.72
BATRA,-9.999999999999998,0,18,The Liberty Braves Group,26.51,-0.10000038,-0.0037579998,104408,29192803808,53403,26.61
CCU,-9.999999999999998,0,19,Compañía Cervecerías Unidas S.A.,14.21,0.29,0.02083,0,2571739989,146617,14.49
RIOT,-9.94906619385343,-12.541010824161859,20,"Riot Blockchain, Inc.",16.51,-0.32999992,-0.019596195,6341083,1924785408,10942783,16.84
AGS,-8.888888888888902,0,21,"PlayAGS, Inc.",7.87,0.1500001,0.019430065,139250,290628893,271363,7.72
RIG,-7.486546546546546,-2.809126851851851,22,Transocean Ltd.,4.96,0.03999996,0.0081300735,45175803,3255632435,69440333,4.92
SLI,-7.478999999999991,4.840663580246929,23,Standard Lithium Ltd.,5.92,0.12,0.02069,0,941251330,2100919,5.77
AAP,-7.08333333333333,-1.2499999999999956,24,"Advance Auto Parts, Inc.",204.92,0.03999329,0.00019520349999999998,609913,12520120320,776772,204.88
A,-6.9444444444444535,15.98060897435898,25,"Agilent Technologies, Inc.",134.33,1.0700073,0.008029471,1896391,40314179584,1805585,133.26
BHIL,-6.666666666666677,0,26,"Benson Hill, Inc.",3.65,0.24000001,0.07038123,322060,649914390,236687,3.41
TCBI,-6.666666666666677,75,27,"Texas Capital Bancshares, Inc.",62.23,1.51,0.02487,0,3150464319,527467,60.72
TRP.TO,-6.666666666666665,0,28,TC Energy Corporation,71.67,0.3199997,0.004484929,5038382,70308265984,2138642,71.35
DAC,-5.905555555555553,29.94999999999999,29,Danaos Corporation,93.12,0.41000366,0.0044224320000000004,477480,1929129856,549546,92.71
DIDI,-5.083861502347431,18.072844982078863,30,DiDi Global Inc.,3.38,-0.39999986,-0.10582006,22692688,14716175686,31586569,3.78
MBRX,-5.000000000000004,7.98888888888889,31,"Moleculin Biotech, Inc.",1.32,0,0,76864,38293298,87179,1.32
SI,-4.660416666666666,3.427142857142851,32,Silvergate Capital Corporation,131.01,4.349991,0.034343839,812298,4143125504,1532487,126.66
CGC,-4.554990886306676,14.701428571428576,33,Canopy Growth Corporation,6.4,-0.26999998,-0.040479755,5467836,2526635572,5281779,6.67
DISCK,-4.376666666666673,-3.863636363636369,34,"Discovery, Inc.",25.06,-0.25,-0.009877519,4135512,12711133184,4283783,25.31
Z,-4.0000000000000036,10.854166666666675,35,"Zillow Group, Inc.",49.86,-1.1800003,-0.023119128,2529947,12119363706,3540664,51.04
CB,-3.749999999999998,41.25000000000001,36,Chubb Limited,201.42,0,0,0,85851096341,1479109,203.94
EBAY,-3.300541125541123,-9.784375,37,eBay Inc.,52.36,-0.70000076,-0.013192626,18925699,30763020288,10250423,53.06
PEP,-3.2043750000000037,12.624999999999996,38,"PepsiCo, Inc.",154.51,-2.8899994,-0.01836086,6103671,213756854272,5764927,157.4
KALV,-2.908333333333335,-3.4611111111111037,39,"KalVista Pharmaceuticals, Inc.",16.38,-0.59000015,-0.034767249,106301,400815340,146949,16.97
CMG,-2.6609374999999935,4.347061224489801,40,"Chipotle Mexican Grill, Inc.",1469.03,48.400024,0.034069406999999996,400321,41179701248,387344,1420.63
SPI,-2.395684523809527,9.29438775510205,41,"SPI Energy Co., Ltd.",3.31,-0.23000002,-0.06497175999999999,399641,80657156,621458,3.54
ATVI,-2.355555555555555,12.023039215686282,42,"Activision Blizzard, Inc.",80.8,-0.02999878,-0.00037113420000000003,6981412,62962192384,9914482,80.83
PPSI,-2.28571428571428,-0.31488095238094704,43,"Pioneer Power Solutions, Inc.",6.11,-0.28999996,-0.045312495,434480,53490656,182190,6.4
W,-2.2222222222222254,4.909999999999992,44,Wayfair Inc.,120.73,-5.9799957,-0.047194347,1710332,9585472319,1700904,126.71
U,-2.0379537037036988,17.7111111111111,45,Unity Software Inc.,83.12,-4.75,-0.05405713,3388024,24445203580,3666012,87.87
MNST,-1.9999999999999907,30.933333333333323,46,Monster Beverage Corporation,75.39,-1.2900009,-0.016823173,2650694,39908376576,3537523,76.68
APVO,-1.7066666666666563,14.459523809523823,47,Aptevo Therapeutics Inc.,4.88,-0.19999981,-0.03937004,85654,23706485,396254,5.08
