ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
K,56.566666666666656,6.805555555555554,1,Kellogg Company,61.01,-1.1800003,-0.018974116,2610209,20708929536,2126801,62.19
GGB,52.30833333333334,-3.749999999999998,2,Gerdau S.A.,5.98,0.26999998,0.047285459999999994,12243848,10199368704,10370572,5.71
EAT,50,0,3,"Brinker International, Inc.",36.2,0.6,0.01685,0,1587730238,1380806,34.9
SEV,50,3.266666666666662,4,Sono Group N.V.,4.52,-0.09999991,-0.021645002,222818,312941021,519750,4.62
GOOD,49.743999999999986,0,5,Gladstone Commercial Corporation,21.45,0.23000145,0.0108389,357241,810788100,413438,21.22
CYN,47.199999999999996,0,6,Cyngn Inc.,1.38,-0.07000005,-0.048275895,63216,36479313,89570,1.45
FTI,45.60606060606061,7.341666666666669,7,TechnipFMC plc,7.61,-0.18,-0.02311,0,3510956739,11919361,7.46
KEY,44.99999999999999,44.99999999999999,8,KeyCorp,22.96,-0.3600006,-0.01543742,11556839,21301391360,7809042,23.32
GO,42.499999999999986,36.85185185185185,9,Grocery Outlet Holding Corp.,29.55,0.45999908,0.015812963,728901,2837302272,882721,29.09
PIK,42.22222222222223,0,10,Kidpik Corp.,1.75,-0.12000001,-0.06417112999999999,212405,13331210,403102,1.87
BEST,37.02810101010101,50.77760416666668,11,BEST Inc.,0.6401,-0.00089997,-0.0014040101999999999,1325975,160440074,1668190,0.641
ELOX,35.83333333333334,0,12,"Eloxx Pharmaceuticals, Inc.",0.4812,0.05500001,0.12904741,354773,41504638,202626,0.4262
HA,35.36666666666666,23.611111111111093,13,"Hawaiian Holdings, Inc.",17.14,0.14999962,0.008828701,1123943,878144607,1908959,16.99
GRBK,35.277777777777786,9.999999999999986,14,"Green Brick Partners, Inc.",22.14,-0.550001,-0.0242398,612505,1123826432,631170,22.69
BAB,35.00000000000001,0,15,Invesco Taxable Municipal Bond ETF,29.86,-0.6099987,-0.020019648,884087,2145441000,1090694,30.47
TALK,33.74999999999999,-1.8181818181818077,16,"Talkspace, Inc.",1.54,-0.05000007,-0.031446583,369252,237119852,475251,1.59
JAKK,32.264999999999986,0,17,"JAKKS Pacific, Inc.",14.71,-0.43999958,-0.029042878,68430,140652318,143525,15.15
MFC,31.944444444444443,0,18,Manulife Financial Corporation,19.59,-0.03999901,-0.0020376469,4135305,38345859072,3902022,19.63
ACXP,31.25,13.726666666666665,19,"Acurx Pharmaceuticals, Inc.",4,-0.07000017,-0.017199059000000003,15522,40932196,21490,4.07
AEHR,31.067500000000003,14.44444444444446,20,Aehr Test Systems,10.93,-0.53,-0.04625,0,293381082,822792,11.46
SA,30.000000000000004,0,21,Seabridge Gold Inc.,18.51,-0.22999954,-0.012273187999999999,372201,1463883100,834810,18.74
BNS.TO,30.000000000000004,0,22,The Bank of Nova Scotia,92.13,-0.5200043,-0.005612566,4070149,110967816192,4399384,92.65
TSN,29.900000000000016,4.444444444444451,23,"Tyson Foods, Inc.",89.95,-0.69000244,-0.007612560000000001,3485639,32603813888,4479916,90.64
LIFE,29.55000000000001,30.699999999999996,24,"aTyr Pharma, Inc.",5.27,0.09000015,0.017374548,135341,146761792,85000,5.18
ALKM,28.100000000000016,8.636363636363619,25,Alkame Holdings Inc,0.0006,-0.0001,-0.14286,0,4679864,15134205,0.0007
GOLD,27.762794497948985,25.58301986882716,26,Barrick Gold Corporation,24.49,0.16,0.00657624,27099063,43888529408,39175049,24.33
WWW,27.499999999999993,21.4102564102564,27,"Wolverine World Wide, Inc.",22.3,0.25,0.011337869,555771,1869683328,637562,22.05
SY,26.66666666666666,-3.516666666666668,28,So-Young International Inc.,1.7,-0.04999995,-0.028571399999999997,2542569,178255200,375013,1.75
LOCL,26.66666666666666,0,29,Local Bounti Corporation,6.46,-0.34,-0.05,0,587145191,142323,6.2
REGN,26.57666666666667,12.5,30,"Regeneron Pharmaceuticals, Inc.",630.36,6.9299927,0.011115911000000001,480626,68418641920,538933,623.43
DD,26.5625,13.749999999999996,31,"DuPont de Nemours, Inc.",72.08,0,0,0,36970371447,3915734,72.49
JACK,25.714285714285733,24,32,Jack in the Box Inc.,82.33,0.2400055,0.0029236874,289920,1732511360,452324,82.09
CP.TO,25,22.933333333333337,33,Canadian Pacific Railway Limited,99.46,0.62999725,0.0063745545999999995,2331093,92469157888,976908,98.83
UPWK,25,-31.666666666666675,34,Upwork Inc.,19.67,-0.79999924,-0.039081547,1578746,2539087031,2169482,20.47
ALEX,25,0,35,"Alexander & Baldwin, Inc.",23.25,0.12,0.00519,0,1681096819,224606,22.9
ENVX,25,40.93,36,Enovix Corporation,14.26,-0.47999954,-0.03256442,623131,2072655112,640318,14.74
GIII,25,-1.2499999999999956,37,"G-III Apparel Group, Ltd.",24.75,-0.02000046,-0.0008074468,355657,1202070400,616690,24.77
R,25,10.000000000000009,38,"Ryder System, Inc.",78.96,-0.6500015,-0.008164822,371173,4248032256,491033,79.61
PCOR,24.870202020202026,0,39,"Procore Technologies, Inc.",55.73,-2.1000023,-0.03631337,1132950,7357364589,735810,57.83
AMPL,24.16666666666667,50,40,"Amplitude, Inc.",18.65,-0.80999947,-0.04162382,873341,1096660396,939578,19.46
YANG,23.980357142857155,9.895833333333325,41,Direxion Daily FTSE China Bear 3X Shares,32.26,3.829998,0.13471678,3939751,76692892,1732087,28.43
CNTX,22.867261904761914,5.829166666666663,42,Context Therapeutics Inc.,1.95,0.07000005,0.037234073,226798,21219313,586154,1.88
XAIR,22.445726495726493,16.266666666666673,43,"Beyond Air, Inc.",7.19,-0.04999971,-0.006906038,107783,214487766,130951,7.24
INMD,22.160493827160476,15.881994047619052,44,InMode Ltd.,38.34,-0.6100006,-0.015661118,1250195,3191467520,1126229,38.95
NUE,21.704230769230783,34.56250000000001,45,Nucor Corporation,133.56,3.550003,0.027305615,2634176,35944333312,3852153,130.01
S,21.65446666666666,20.42253086419752,46,"SentinelOne, Inc.",35.24,0.6000023,0.017321082,5572642,1468752736,6544571,34.64
EVGO,21.11666666666665,9.061711711711729,47,"EVgo, Inc.",12.24,0.21999931,0.018302771,2163397,842025433,4156730,12.02
