ticker,posts,lastPosts,postsChange,likes,lastLikes,impressions,lastImpressions,rank,retweets,lastRetweets,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
ZIM,165,0,16400,3294,0,4270412,0,1,391,0,ZIM Integrated Shipping Services Ltd.,74.9,4.21,0.05956,3284503,8613500000,4392810,70.69
DRCT,164,0,16300,500,0,1747543,0,2,86,0,Direct Digital Holdings Inc Class A,2.16,0.96,0.8,23040090,6351076,580353,1.2
BMBL,160,0,15900,778,0,3493631,0,3,103,0,Bumble Inc.,23.14,6.48,0.38896,13658974,2990650161,11772936,16.66
SBFM,157,0,15600,627,0,2009935,0,4,115,0,Sunshine Biopharma Inc,3.89,2.37,1.55921,19644365,2015985105,92552,1.52
XPO,133,0,13200,925,0,3661052,0,5,241,0,"XPO Logistics, Inc.",71.03,9.1,0.14694,1192568,8153760783,2316620,61.93
PALT,16,0,1500,127,0,353020,0,6,57,0,"Paltalk, Inc.",2.49,0.03999996,0.016326514,4434,24406432,56756,2.45
EPIX,11,0,1000,2,0,54281,0,7,2,0,ESSA Pharma Inc.,7.43,0.23,0.03194,12922,238238574,134820,7.2
TRT,258,26,892.3076923076924,28884,451,285191,143163,8,26633,58,Trio-Tech International,6.47,0.13,0.0205,2877,25551195,191237,6.34
BATRA,8,1,700,361,0,299800,521,9,25,0,The Liberty Braves Group,25.88,0.3,0.01173,110,29217537880,54535,25.58
AHPI,14,2,600,172,0,51514,2114,10,34,0,"Allied Healthcare Products, Inc.",2.5905,0.05050015,0.019881951,2318,10194384,54023,2.54
CGEN,19,3,533.3333333333333,80,0,96615,13819,11,11,0,Compugen Ltd.,3.12,0.09,0.0297,150948,261823938,1220057,3.03
XAIR,12,2,500,351,13,60402,24947,12,24,0,"Beyond Air, Inc.",6.86,0.13,0.01932,8054,204643404,104642,6.73
KPLT,12,2,500,100,1,53164,16304,13,15,0,"Katapult Holdings, Inc.",1.98,0.1,0.05319,152066,192995295,1477134,1.88
IMRN,5,1,400,108,0,17237,24,14,11,0,Immuron Limited,2.7,0,0,293,15376389,39691,2.7
