ticker,posts,lastPosts,likes,lastLikes,impressions,lastImpressions,rank,retweets,lastRetweets,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
BBBY,2893,2027,19354891,187941,4128918,13043115,1,2436847,42915,Bed Bath & Beyond Inc.,23.24,0.38,0.01662,2313057,2238888450,18775533,22.86
ROSE,3854,1349,6269597,459862,9857361,2298840,2,5867340,413535,Rose Hill Acquisition Corporation,10.22,0.26000023,0.026104440000000003,1,124625000,99654,9.96
LMT,606,2661,2829034,8220138,3066578,14338901,3,1070120,3110903,Lockheed Martin Corporation,449.5,0.51,0.00114,718359,122410952788,4133678,448.99
AMC,7489,8991,1912387,1751845,11246325,15481588,4,370830,296666,"AMC Entertainment Holdings, Inc.",15.84,0.45,0.02924,4794795,8131151002,35370432,15.39
TSLA,6276,5790,1217380,2296266,26735286,20458606,5,116692,242900,"Tesla, Inc.",843.895,19.495,0.02365,4797402,847494087279,26799702,824.4
GOLD,1835,1174,772815,196835,7847698,4659463,6,80340,23499,Barrick Gold Corporation,24.1,-1.26,-0.04968,9907622,42881877992,67227937,25.36
GME,2369,3422,693186,622259,3880259,7162881,7,100899,119519,GameStop Corp.,105.02,2.01,0.01951,222837,8018359021,2134029,103.01
CRM,1197,265,557152,67969,1044210,641463,8,544062,68580,"salesforce.com, inc.",202.95,10.87,0.05659,1329601,199905750000,8229049,192.08
COIN,662,897,225510,441605,4323752,3215031,9,178775,397823,"Coinbase Global, Inc.",178.35,16.36,0.10099,1572221,46602855000,3840779,161.99
KEY,680,399,203971,4569,450849,4285027,10,221929,2587,KeyCorp,23.26,0.86,0.03839,808913,21579721581,12318945,22.4
SPY,11888,10682,94484,125169,35377183,28180549,11,14809,19430,SPDR S&P 500 ETF Trust,425.93,9.68,0.02326,19590004,386970182900,164772744,416.25
SOLO,637,275,87971,27868,910715,339361,12,84071,18904,Electrameccanica Vehicles Corp.,2.105,0.045,0.02184,650107,237844001,4369671,2.06
MULN,4215,4789,79704,115167,11633514,15825771,13,13700,14319,Mullen Automotive Inc,1.27,0.03,0.02419,37417920,44376726,214891790,1.24
LOVE,399,97,79006,2450,183878,279587,14,54715,1621,The Lovesac Company,40.52,2.33,0.06101,9010,612787364,319751,38.19
