ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
KPLT,27.264957264957257,-0.16429249762583975,-16695.37572254246,1,"Katapult Holdings, Inc.",2.09,0.21999991,0.11764701000000001,2121482,206985440,5704503,1.87
WSBC,-35.83333333333333,0,-3683.333333333333,2,"WesBanco, Inc.",35.72,0.40999985,0.011611437,248138,2190021888,199298,35.31
MTEX,24.049999999999994,-0.7774509803921581,-3193.442622950814,3,"Mannatech, Incorporated",34.44,1.9399986,0.059692264,12927,66185412,4389,32.5
OCX,12.802991452991463,-0.41941176470587926,-3152.6066577960237,4,OncoCyte Corporation,1.2,0.05000007,0.043478327,843377,112079624,255504,1.15
IMRN,-24.5,0,-2550,5,Immuron Limited,2.9,0.10000014,0.035714335,2876,16401482,4899,2.8
TS,29.72222222222223,-1.9390624999999995,-1632.8140388575528,6,Tenaris S.A.,26.55,0.0699997,0.00264349,3128771,16218199040,2756008,26.48
SBEA,-12.5,0,-1350,7,SilverBox Engaged Merger Corp I,12.44,0.43,0.0358,0,0,1469336,12.01
DCFC,12.619047619047619,-1.464999999999994,-961.3684381602505,8,Tritium DCFC Limited,7.33,0.19999981,0.028050462999999998,355118,1144154131,261979,7.13
GPS,13.766987179487188,-2.6691176470588163,-615.7879494243148,9,"The Gap, Inc.",15.52,0.9300003,0.06374231,9150398,5757920256,7697319,14.59
BMO,-20.305555555555543,5.804761904761913,-449.8085862729006,10,Bank of Montreal,119.38,3.0499954,0.026218476,979799,77415415808,891974,116.33
RAD,6.1689208410637075,-2.0812080881041584,-396.41057404707584,11,Rite Aid Corporation,9.07,0.38,0.0437284,2598880,505944318,2657872,8.69
MFC.TO,10.000000000000009,-3.888888888888875,-357.14285714285825,12,Manulife Financial Corporation,25.49,0.9699993,0.039559512,6125048,51034296320,5896447,24.52
ANF,-44.875,20.659722222222232,-317.2100840336133,13,Abercrombie & Fitch Co.,31.32,1.3199997,0.043999987000000004,1541181,1659490176,1632399,30
LGVN,10.000000000000009,-4.666666666666663,-314.2857142857146,14,Longeveron Inc.,6.45,0.3199997,0.052202234,211671,34462533,192696,6.13
MFC,-2.670454545454537,1.3742424242424223,-294.3219404630647,15,Manulife Financial Corporation,20.1,0.9,0.046875,7656610,40285827072,9536615,19.2
FCF,-7.752719298245614,4.496726190476186,-272.4080802310231,16,First Commonwealth Financial Corporation,15.98,0.27,0.0171865,489897,1506899584,386714,15.71
FCEL,8.28225535399345,-6.005402046783626,-237.91342010863806,17,"FuelCell Energy, Inc.",6.2,0.32999992,0.056218047,22726795,2273464143,18275671,5.87
MSTR,10.571759259259261,-8.0110626911315,-231.96450542026756,18,MicroStrategy Incorporated,428.78,32.639984,0.08239507,567332,3978280759,378014,396.14
CAAP,14.999999999999991,-11.780000000000001,-227.33446519524608,19,Corporación América Airports S.A.,5.61,0.11,0.02,35130,915679386,117122,5.5
ACXP,-1.1363636363636354,0,-213.63636363636354,20,"Acurx Pharmaceuticals, Inc.",3.72,-0.00999999,-0.0026809627,11599,39869680,7540,3.73
AFYA,-10.024358974358972,10.050000000000004,-199.74486541650714,21,Afya Limited,13.32,0.8800001,0.07073955999999999,188726,1244440960,129153,12.44
SESN,17.300000000000004,-19.999999999999996,-186.50000000000003,22,"Sesen Bio, Inc.",0.6352,0.02270001,0.037061243,1274929,127417376,1270908,0.6125
ATER,-5.12636054421769,6.237095238095236,-182.191474532995,23,"Aterian, Inc.",2.35,0.09999991,0.0444444,3017670,124722004,1669123,2.25
USO,-2.9983770313681157,4.436205214811406,-167.58878109058764,24,"United States Oil Fund, LP",68.47,0.19,0.00278,7383098,3224427613,13575267,68.63
WIX,-7.563888888888892,14.016666666666655,-153.96353547364257,25,Wix.com Ltd.,84.79,6.8199997,0.08746952999999999,1006360,4745270964,1480448,77.97
AIHS,4.444444444444451,-8.333333333333337,-153.3333333333334,26,Senmiao Technology Limited,0.2611,0.0191,0.0789256,1396100,17126468,245615,0.242
EBAY,-5.542536630036632,10.746690115440117,-151.57435983078634,27,eBay Inc.,54.77,0.83000183,0.015387501999999999,7363830,32178964480,8927371,53.94
MVST,-2.9916666666666702,6.925000000000003,-143.20096269554756,28,"Microvast Holdings, Inc.",7.29,-0.36000013,-0.047058840000000005,1756265,2196773692,989040,7.65
CHEK,-2.995833333333331,7.477777777777761,-140.06315007429427,29,Check-Cap Ltd.,0.3847,0.01089999,0.029159954,674412,36826691,971096,0.3738
ENVX,-5.714285714285716,14.999999999999991,-138.09523809523813,30,Enovix Corporation,13.93,1.0100002,0.07817339,865790,2017461773,619781,12.92
GOCO,2.7886574074074133,-7.688768115942035,-136.26923540099173,31,"GoHealth, Inc.",1.35,0.15,0.125,8131135,154944803,4987967,1.2
FVRR,-5.0925925925925934,16.227631578947378,-131.3822295497476,32,Fiverr International Ltd.,65,0.35,0.00541,1193924,2376605632,955695,59.64
EH,1.1174908424908425,-4.257309941520471,-126.24875467938654,33,EHang Holdings Limited,10.85,2.25,0.26162788,1915395,356332420,1295318,8.6
ISPC,-7.9999999999999964,31.851851851851865,-125.11627906976743,34,iSpecimen Inc.,4.08,0.12999988,0.03291136,168645,35791081,141502,3.95
PPSI,-5.000000000000004,20.20833333333334,-124.74226804123714,35,"Pioneer Power Solutions, Inc.",5.99,0.17999983,0.030981038000000002,120137,52705312,213544,5.81
IMMR,-2.959999999999996,12.84444444444446,-123.04498269896187,36,Immersion Corporation,5.25,0.15999985,0.031434152,244035,176341200,328452,5.09
SA,-1.0000000000000009,6.180246913580256,-116.18058330003996,37,Seabridge Gold Inc.,18.1,-0.139999,-0.0076754100000000006,338529,1431457813,632117,18.24
