ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
MRAI,47.50000000000001,0,4650.000000000001,1,"Marpai, Inc.",1.74,0.06000006,0.035714324,52330,35617526,46354,1.68
BENE,41.25000000000001,0,4025.000000000001,2,Benessere Capital Acquisition Corp.,10.23,0.00999928,0.0009784026,26720,121554125,21202,10.22
ANY,2.844204802872552,0.06968775344686762,3981.355277209608,3,Sphere 3D Corp.,1.83,0.10000002,0.057803483,2607003,66444014,2155014,1.73
ACWV,39.99999999999999,0,3899.999999999999,4,iShares MSCI Global Min Vol Factor ETF,102.52,1.7199936,0.017063428000000002,130922,5279780000,262641,100.8
CP.TO,38.79999999999999,0,3779.999999999999,5,Canadian Pacific Railway Limited,100.78,2.5,0.025437527,1891540,94297022464,976908,98.28
NOV,3.3319444444444457,0.09479166666666039,3415.018315018549,6,NOV Inc.,18.75,-0.57,-0.0295031,6887001,7362474769,5881926,19.32
ATOS,10.96666666666668,0.31250000000000444,3409.333333333287,7,"Atossa Therapeutics, Inc.",1.27,0.09000003,0.07627122,1858733,160812620,1689995,1.18
MRU.TO,34.350000000000016,0,3335.0000000000014,8,Metro Inc.,69.3,-0.9799957,-0.013944163,983668,16695547904,186743,70.28
IUSB,25.625000000000007,0,2462.500000000001,9,iShares Core Total USD Bond Market ETF,49.78,0.11,0.00221,3704303,18085074000,1637654,49.67
WBEV,31.875000000000007,1.4285714285714235,2131.2500000000086,10,"Winc, Inc.",2.98,-0.24,-0.07453420000000001,32008,39214327,28808,3.22
AHI,21.11666666666665,0,2011.666666666665,11,Advanced Human Imaging Limited,0.9554,0.0104,0.011005288,47901,22389677,61225,0.945
GGD.TO,16.35416666666667,0,1535.4166666666672,12,GoGold Resources Inc.,3.06,-0.06,-0.01923,1392779,901505428,476723,3.12
AEHL,14.487500000000008,0,1348.7500000000007,13,Antelope Enterprise Holdings Limited,1.19,0.16000009,0.1553399,553233,6527897,26702,1.03
ACA,16.427039177906245,1.242728013029315,1221.8531332421765,14,"Arcosa, Inc.",58.26,1.199997,0.02103044,481282,2836889088,241042,57.06
ADUS,11.66666666666667,0,1066.666666666667,15,Addus HomeCare Corporation,78.23,2.3100052,0.030426834,102034,1284747904,61757,75.92
KALV,14.999999999999991,1.4285714285714235,950.0000000000032,16,"KalVista Pharmaceuticals, Inc.",14.44,-0.06000042,-0.0041379598,218202,355140914,326669,14.5
OOMA,50,6.428571428571428,677.7777777777778,17,"Ooma, Inc.",14.49,0,0,248797,344862000,191223,14.37
RUSL,-35,-4.999999999999993,600.000000000001,18,Direxion Daily Russia Bull 2X Shares,2.58,0,0,0,58446609,17914502,3.25
VRPX,36.87499999999999,5.354022988505758,588.7344353799899,19,"Virpax Pharmaceuticals, Inc.",2.09,0.07999992,0.039800956,152143,24015842,701830,2.01
SENS,43.73645833333333,6.363768115942037,587.2729731268495,20,"Senseonics Holdings, Inc.",1.73,-0.03,-0.01705,9104295,815136747,7473217,1.59
WSR,6.666666666666665,0,566.6666666666665,21,Whitestone REIT,12.83,0.0299997,0.00234373,446716,648416640,442490,12.8
T,11.347414983164983,2.1169702380952504,436.02146969127205,22,AT&T Inc.,23.18,-0.01,-0.00043,37553392,165643682664,35565870,23.09
SY,19.999999999999996,3.7499999999999867,433.3333333333352,23,So-Young International Inc.,1.705,0.225,0.15203,1851322,152181732,388593,1.48
BBAX,5.000000000000004,0,400.00000000000045,24,JPMorgan BetaBuilders Developed Asia ex-Japan ETF,54.08,0,0,460609,4358774505,567426,51.9
SLI,-4.027777777777786,-0.8333333333333304,383.333333333336,25,Standard Lithium Ltd.,6.15,0,0,1922899,1008163116,1583085,5.67
DATS,14.601851851851855,3.100000000000014,371.0274790919932,26,"DatChat, Inc.",1.55,0.08999991,0.061643777000000004,314363,30571974,277294,1.46
PIK,10.404166666666658,2.31597222222224,349.23538230884174,27,Kidpik Corp.,1.84,0.29000008,0.18709682,435795,14016815,100406,1.55
PPL.TO,22.39,5.000000000000004,347.7999999999996,28,Pembina Pipeline Corporation,45.51,0.0699997,0.0015404862,2691467,25807626240,3525072,45.44
RKT,16.968686868686866,4.089999999999994,314.8823195277969,29,"Rocket Companies, Inc.",10.45,0.04,0.00384,8073233,1406737528,5341930,10.25
XPO,-9.343434343434353,-2.2916666666666696,307.7134986225894,30,"XPO Logistics, Inc.",75.33,4.3600006,0.061434417000000005,1994039,8647356416,1841002,70.97
GS,17.928358944050448,4.4554362551814775,302.39289526812445,31,"The Goldman Sachs Group, Inc.",341.6,0.84,0.00247,3466944,114084055865,2140675,329.16
SOS,52.262310353832085,13.679218106995883,282.05626918912765,32,SOS Limited,0.64,0.0132,0.02106,4385278,114311880,2207520,0.588
BB,14.576462133890256,3.841430966196935,279.45396551850934,33,BlackBerry Limited,6.55,-0.02,-0.00304,7082798,3776187496,7559400,6.09
PCOR,14.44444444444446,3.8888888888888973,271.42857142857105,34,"Procore Technologies, Inc.",57.55,4.3099976,0.08095411999999999,1395501,7597637396,2071671,53.24
