ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
PIK,85.00000000000001,7.637777777777788,1,Kidpik Corp.,1.75,-0.12000001,-0.06417112999999999,212405,13331210,403102,1.87
NTRB,81.55000000000001,0,2,Nutriband Inc.,3.43,-0.02,-0.0058,0,26664690,63316,3.45
CASH,67.83735380116957,42.393913354815616,3,"Meta Financial Group, Inc.",50.83,-0.579998,-0.011281813,326203,1517270528,488952,51.41
STZ,58.922801906779675,59.61475609756099,4,"Constellation Brands, Inc.",213.64,-1.0800018,-0.005029815,1002142,40118035535,812182,214.72
ATRA,53.75000000000001,14.999999999999991,5,"Atara Biotherapeutics, Inc.",9.26,-0.04,-0.0043,0,818744994,1405834,9.3
GRA,53.175,56.34999999999999,6,W. R. Grace & Co.,69.99,0,0,0,4638240869,739183,69.97
WOW,50.79813696086832,49.58563689069007,7,"WideOpenWest, Inc.",17.64,0.0699997,0.0039840466,197100,1541607296,262478,17.57
OXY,50.372189529914536,8.826738005050494,8,Occidental Petroleum Corporation,58.13,0.63000107,0.010956539999999999,81031288,54297141248,134668989,57.5
BEST,50.07051504629629,49.278065670712714,9,BEST Inc.,0.6401,-0.00089997,-0.0014040101999999999,1325975,160440074,1668190,0.641
GAB,50,-17.91666666666667,10,The Gabelli Equity Trust Inc.,6.91,0,0,567175,1820867840,457552,6.91
JPHY,50,19.999999999999996,11,JPMorgan High Yield Research Enhanced ETF,48.44,0,0,0,1390228000,38621,48.825
WPM.TO,49.2,0,12,Wheaton Precious Metals Corp.,62.75,0.95000076,0.015372181,1615209,28269314048,700749,61.8
ALEX,45.590765765765774,37.638888888888886,13,"Alexander & Baldwin, Inc.",23.25,0.12,0.00519,0,1681096819,224606,22.9
MRAI,45.47500000000002,22.232142857142854,14,"Marpai, Inc.",1.87,-0.06,-0.03109,0,37629816,74145,1.93
OOMA,45.374999999999986,0,15,"Ooma, Inc.",14.87,0,0,0,353906000,119756,15.27
HA,44.99999999999999,35.277777777777786,16,"Hawaiian Holdings, Inc.",17.14,0.14999962,0.008828701,1123943,878144607,1908959,16.99
AEHR,43.75,20.7972222222222,17,Aehr Test Systems,10.93,-0.53,-0.04625,0,293381082,822792,11.46
ALKM,43.462500000000006,34.74999999999999,18,Alkame Holdings Inc,0.0006,-0.0001,-0.14286,0,4679864,15134205,0.0007
DAVE,41.25000000000001,24.119444444444447,19,Dave Inc.,5.55,0.39000034,0.07558146,1152853,1655053690,1116155,5.16
GNPX,39.99999999999999,32.29166666666667,20,"Genprex, Inc.",2.21,0.02999997,0.013761455,313054,105656940,433500,2.18
KRYS,39.99999999999999,12.524999999999986,21,"Krystal Biotech, Inc.",66.03,3.8099976,0.06123429,186521,1670539793,142884,62.22
MTEX,39.99999999999999,0,22,"Mannatech, Incorporated",33.15,-1.55,-0.04467,0,63706377,725,34.7
GO,39.4675925925926,42.40505952380953,23,Grocery Outlet Holding Corp.,29.55,0.45999908,0.015812963,728901,2837302272,882721,29.09
GOOD,38.20944444444445,60.48888888888888,24,Gladstone Commercial Corporation,21.45,0.23000145,0.0108389,357241,810788100,413438,21.22
SOS,37.2418066252588,14.985686077643901,25,SOS Limited,0.6368,-0.02829999,-0.042549976999999996,2588547,116135617,4460053,0.6651
